Number of Cases,Street Address,Cluster Number,Recent Cases in Cluster,Total Cases in Cluster,Date,Month Number
23,florence road,1,17,198,27/10/2021,10
48,hougang avenue 2,1,17,198,27/10/2021,10
2,hougang avenue 2(blk 701),1,17,198,27/10/2021,10
2,hougang avenue 2(blk 702),1,17,198,27/10/2021,10
4,hougang avenue 2(blk 705),1,17,198,27/10/2021,10
6,hougang avenue 2(blk 706),1,17,198,27/10/2021,10
9,hougang avenue 2(blk 707),1,17,198,27/10/2021,10
6,hougang avenue 2(blk 708),1,17,198,27/10/2021,10
12,hougang avenue 2(blk 709),1,17,198,27/10/2021,10
16,hougang avenue 2(blk 710),1,17,198,27/10/2021,10
16,hougang avenue 2(blk 711),1,17,198,27/10/2021,10
20,hougang avenue 2(blk 712),1,17,198,27/10/2021,10
11,jalan arif,1,17,198,27/10/2021,10
16,jalan tani,1,17,198,27/10/2021,10
1,lim ah pin road,1,17,198,27/10/2021,10
1,poh huat road,1,17,198,27/10/2021,10
2,simon place,1,17,198,27/10/2021,10
3,upper serangoon road,1,17,198,27/10/2021,10
2,compassvale link(blk 268c),2,3,8,27/10/2021,10
2,sengkang central(blk 271b),2,3,8,27/10/2021,10
1,sengkang central(blk 272a),2,3,8,27/10/2021,10
1,sengkang central(blk 272b),2,3,8,27/10/2021,10
2,sengkang central(blk 272c),2,3,8,27/10/2021,10
1,choa chu kang central(blk 205),3,2,3,27/10/2021,10
1,choa chu kang central(blk 235),3,2,3,27/10/2021,10
1,teck whye lane(blk 122),3,2,3,27/10/2021,10
1,hougang avenue 3(blk 15),4,3,3,27/10/2021,10
1,hougang avenue 3(blk 19),4,3,3,27/10/2021,10
1,hougang street 31(blk 370),4,3,3,27/10/2021,10
3,hougang avenue 4(blk 604),5,2,3,27/10/2021,10
2,chencharu link,6,1,2,27/10/2021,10
1,hougang avenue 1(blk 165),7,2,2,27/10/2021,10
1,lorong ah soo(blk 134),7,2,2,27/10/2021,10
1,hougang street 92(blk 941),8,1,2,27/10/2021,10
1,yio chu kang road(hundred palms residences),8,1,2,27/10/2021,10
1,jurong west street 91(blk 936),9,2,2,27/10/2021,10
1,jurong west street 91(blk 953),9,2,2,27/10/2021,10
1,rambai road,10,2,2,27/10/2021,10
1,teng tong road,10,2,2,27/10/2021,10
1,da silva lane,1,2,221,03/12/2021,12
28,florence road,1,2,221,03/12/2021,12
48,hougang avenue 2,1,2,221,03/12/2021,12
2,hougang avenue 2(blk 701),1,2,221,03/12/2021,12
2,hougang avenue 2(blk 702),1,2,221,03/12/2021,12
1,hougang avenue 2(blk 703),1,2,221,03/12/2021,12
5,hougang avenue 2(blk 705),1,2,221,03/12/2021,12
6,hougang avenue 2(blk 706),1,2,221,03/12/2021,12
10,hougang avenue 2(blk 707),1,2,221,03/12/2021,12
6,hougang avenue 2(blk 708),1,2,221,03/12/2021,12
12,hougang avenue 2(blk 709),1,2,221,03/12/2021,12
16,hougang avenue 2(blk 710),1,2,221,03/12/2021,12
17,hougang avenue 2(blk 711),1,2,221,03/12/2021,12
20,hougang avenue 2(blk 712),1,2,221,03/12/2021,12
12,jalan arif,1,2,221,03/12/2021,12
19,jalan tani,1,2,221,03/12/2021,12
1,lim ah pin road,1,2,221,03/12/2021,12
8,poh huat road,1,2,221,03/12/2021,12
1,simon lane,1,2,221,03/12/2021,12
3,simon place,1,2,221,03/12/2021,12
3,upper serangoon road,1,2,221,03/12/2021,12
2,hai sing road,2,3,8,03/12/2021,12
2,hougang avenue 5(blk 312),2,3,8,03/12/2021,12
1,hougang avenue 5(blk 313),2,3,8,03/12/2021,12
2,hougang avenue 5(blk 314),2,3,8,03/12/2021,12
1,hougang avenue 7(blk 316),2,3,8,03/12/2021,12
1,bukit batok street 24(blk 291b),3,1,6,03/12/2021,12
2,bukit batok street 24(blk 291c),3,1,6,03/12/2021,12
3,bukit batok street 24(blk 291d),3,1,6,03/12/2021,12
3,jalan hock chye,4,2,6,03/12/2021,12
1,jalan teliti,4,2,6,03/12/2021,12
2,tampines road,4,2,6,03/12/2021,12
3,jalan kenarah,5,3,6,03/12/2021,12
3,kelulut hill,5,3,6,03/12/2021,12
1,jalan wangi,6,3,5,03/12/2021,12
2,macpherson road,6,3,5,03/12/2021,12
2,mulberry avenue,6,3,5,03/12/2021,12
1,jurong west street 61(blk 646),7,2,3,03/12/2021,12
1,jurong west street 61(blk 650a),7,2,3,03/12/2021,12
1,jurong west street 61(blk 650b),7,2,3,03/12/2021,12
2,circuit road(blk 37),8,2,2,03/12/2021,12
1,edgefield plains(blk 103a),9,2,2,03/12/2021,12
1,punggol field(blk 102a),9,2,2,03/12/2021,12
1,holland avenue(blk 8),10,1,2,03/12/2021,12
1,holland drive(blk 43),10,1,2,03/12/2021,12
2,hougang avenue 3(blk 248),11,2,2,03/12/2021,12
1,tampines avenue 9(blk 499b),12,1,2,03/12/2021,12
1,tampines avenue 9(blk 499c),12,1,2,03/12/2021,12
2,ubi road 1,13,1,2,03/12/2021,12
2,upper serangoon cresent(blk 473a),14,2,2,03/12/2021,12
4,kaki bukit industrial terrace,1,3,35,08/03/2021,3
31,kaki bukit road 3,1,3,35,08/03/2021,3
6,goodlink park,2,18,32,08/03/2021,3
8,jalan mata ayer,2,18,32,08/03/2021,3
16,jalan mata ayer(euphony gardens),2,18,32,08/03/2021,3
1,sembawang road,2,18,32,08/03/2021,3
